season_year,period,penalty_severity,total_penalties,games_with_penalty,avg_loss_rate_pc
2014,1,Match,1.0,1.0,100.0
2018,1,Game Misconduct,8.0,4.0,100.0
2012,1,Match,2.0,2.0,100.0
2011,1,Match,1.0,1.0,100.0
2016,1,Penalty Shot,10.0,10.0,81.25
2019,1,Penalty Shot,20.0,10.0,81.25
2017,1,Penalty Shot,9.0,9.0,77.78
2015,1,Match,5.0,5.0,77.78
2015,1,Game Misconduct,14.0,14.0,72.73
2011,1,Penalty Shot,10.0,10.0,72.22
2019,1,Misconduct,22.0,11.0,71.43
2017,1,Match,3.0,3.0,66.67
2013,1,Game Misconduct,33.0,26.0,66.67
2010,1,Penalty Shot,14.0,14.0,65.38
2013,1,Misconduct,24.0,21.0,62.82
2010,1,Game Misconduct,19.0,19.0,61.11
2012,1,Game Misconduct,11.0,11.0,61.11
2018,1,Penalty Shot,24.0,12.0,60.0
2017,1,Game Misconduct,10.0,10.0,60.0
2012,1,Misconduct,32.0,31.0,57.58
2013,1,Bench Minor,63.0,61.0,57.16
2018,1,Misconduct,18.0,9.0,56.25
2013,1,Major,466.0,416.0,55.16
2010,1,Bench Minor,87.0,85.0,54.94
2019,1,Bench Minor,160.0,80.0,54.43
2011,1,Misconduct,43.0,38.0,54.03
2016,1,Major,329.0,296.0,53.99
2011,1,Bench Minor,72.0,70.0,53.7
2012,1,Bench Minor,43.0,43.0,53.11
2015,1,Misconduct,13.0,13.0,52.78
2018,1,Bench Minor,182.0,91.0,52.19
2017,1,Major,254.0,221.0,51.66
2016,1,Minor,2780.0,1826.0,51.5
2012,1,Minor,1900.0,1138.0,51.36
2019,1,Major,336.0,158.0,51.2
2017,1,Bench Minor,90.0,89.0,51.18
2010,1,Minor,3298.0,1938.0,51.18
2011,1,Minor,3007.0,1859.0,51.16
2015,1,Major,305.0,284.0,51.07
2014,1,Minor,2862.0,1856.0,50.94
2010,1,Major,602.0,526.0,50.93
2013,1,Minor,3137.0,1946.0,50.82
2017,1,Minor,2807.0,1868.0,50.6
2011,1,Major,586.0,503.0,50.41
2016,1,Bench Minor,86.0,85.0,50.38
2018,1,Minor,5434.0,1849.0,50.36
2015,1,Minor,2915.0,1843.0,50.31
2018,1,Major,304.0,143.0,50.09
2019,1,Minor,4983.0,1701.0,50.05
2012,1,Penalty Shot,6.0,6.0,50.0
2013,1,Penalty Shot,15.0,15.0,50.0
2016,1,Misconduct,16.0,16.0,50.0
2016,1,Game Misconduct,8.0,8.0,50.0
2014,1,Penalty Shot,7.0,7.0,50.0
2012,1,Major,365.0,316.0,49.86
2014,1,Bench Minor,67.0,67.0,48.85
2014,1,Major,355.0,336.0,48.69
2015,1,Penalty Shot,13.0,13.0,45.45
2015,1,Bench Minor,69.0,69.0,44.2
2010,1,Misconduct,34.0,30.0,41.67
2011,1,Game Misconduct,21.0,21.0,40.0
2013,1,Match,3.0,3.0,33.33
2017,1,Misconduct,12.0,12.0,33.33
2014,1,Game Misconduct,10.0,10.0,31.25
2014,1,Misconduct,17.0,16.0,30.56
2019,1,Game Misconduct,8.0,4.0,25.0
2019,1,Match,2.0,1.0,0.0
2018,1,Match,2.0,1.0,0.0
2012,2,Match,2.0,2.0,100.0
2017,2,Match,2.0,2.0,100.0
2017,2,Game Misconduct,10.0,10.0,85.71
2018,2,Match,10.0,5.0,80.0
2013,2,Game Misconduct,13.0,13.0,72.22
2015,2,Game Misconduct,20.0,20.0,70.0
2012,2,Penalty Shot,10.0,10.0,70.0
2013,2,Misconduct,49.0,46.0,67.68
2011,2,Match,3.0,3.0,66.67
2011,2,Misconduct,63.0,56.0,65.48
2015,2,Misconduct,31.0,29.0,63.73
2019,2,Misconduct,64.0,29.0,63.73
2010,2,Penalty Shot,27.0,27.0,62.96
2019,2,Game Misconduct,26.0,13.0,61.67
2016,2,Game Misconduct,14.0,14.0,61.54
2018,2,Game Misconduct,30.0,13.0,61.11
2018,2,Penalty Shot,44.0,22.0,60.71
2010,2,Game Misconduct,20.0,16.0,60.61
2015,2,Penalty Shot,15.0,15.0,58.97
2016,2,Misconduct,30.0,29.0,58.7
2019,2,Bench Minor,234.0,114.0,58.19
2019,2,Penalty Shot,32.0,16.0,57.69
2017,2,Bench Minor,124.0,124.0,56.79
2013,2,Penalty Shot,21.0,20.0,55.83
2011,2,Game Misconduct,24.0,23.0,55.56
2014,2,Bench Minor,109.0,107.0,55.28
2015,2,Bench Minor,99.0,98.0,54.07
2015,2,Major,284.0,254.0,53.81
2014,2,Misconduct,29.0,29.0,52.78
2012,2,Bench Minor,73.0,73.0,52.53
2019,2,Major,344.0,161.0,52.11
2018,2,Bench Minor,220.0,108.0,52.07
2017,2,Minor,3396.0,1979.0,52.05
2016,2,Major,280.0,257.0,52.01
2010,2,Bench Minor,112.0,110.0,50.97
2012,2,Minor,2133.0,1203.0,50.75
2015,2,Minor,3489.0,1988.0,50.59
2013,2,Minor,3515.0,1982.0,50.53
2014,2,Minor,3366.0,1977.0,50.33
2011,2,Minor,3536.0,1998.0,50.05
2018,2,Minor,6532.0,2023.0,50.05
2010,2,Major,436.0,383.0,50.01
2018,2,Misconduct,54.0,27.0,50.0
2010,2,Match,2.0,2.0,50.0
2014,2,Penalty Shot,14.0,14.0,50.0
2014,2,Major,297.0,266.0,49.95
2013,2,Bench Minor,109.0,107.0,49.92
2011,2,Major,363.0,341.0,49.89
2019,2,Minor,6191.0,1842.0,49.77
2010,2,Minor,3664.0,2029.0,49.69
2013,2,Major,308.0,283.0,49.47
2016,2,Minor,3259.0,1912.0,49.42
2012,2,Major,229.0,201.0,49.14
2018,2,Major,384.0,177.0,48.81
2014,2,Game Misconduct,17.0,16.0,48.61
2016,2,Bench Minor,112.0,112.0,47.84
2017,2,Major,178.0,164.0,47.79
2011,2,Bench Minor,105.0,104.0,46.56
2011,2,Penalty Shot,14.0,14.0,46.15
2012,2,Misconduct,21.0,21.0,44.87
2012,2,Game Misconduct,14.0,14.0,40.91
2017,2,Penalty Shot,14.0,14.0,40.91
2016,2,Penalty Shot,11.0,11.0,40.74
2010,2,Misconduct,45.0,43.0,40.09
2017,2,Misconduct,21.0,21.0,38.54
2015,2,Match,3.0,3.0,33.33
2013,2,Match,2.0,2.0,0.0
2019,2,Match,4.0,2.0,0.0
2014,2,Match,2.0,2.0,0.0
2011,3,Match,3.0,3.0,100.0
2012,3,Match,2.0,2.0,100.0
2014,3,Match,1.0,1.0,100.0
2014,3,Game Misconduct,26.0,21.0,84.31
2017,3,Match,4.0,4.0,83.33
2012,3,Penalty Shot,5.0,5.0,80.0
2018,3,Game Misconduct,52.0,25.0,77.78
2019,3,Game Misconduct,24.0,12.0,77.78
2013,3,Match,8.0,8.0,75.0
2015,3,Game Misconduct,39.0,30.0,73.68
2013,3,Penalty Shot,20.0,20.0,73.53
2012,3,Game Misconduct,27.0,21.0,72.62
2017,3,Game Misconduct,24.0,19.0,71.15
2016,3,Penalty Shot,14.0,14.0,68.18
2017,3,Misconduct,104.0,86.0,68.05
2018,3,Penalty Shot,26.0,12.0,66.67
2010,3,Game Misconduct,56.0,43.0,66.29
2010,3,Misconduct,217.0,158.0,66.22
2013,3,Game Misconduct,35.0,32.0,64.49
2014,3,Misconduct,128.0,105.0,64.34
2010,3,Penalty Shot,17.0,17.0,64.29
2015,3,Misconduct,125.0,96.0,62.55
2019,3,Misconduct,256.0,97.0,61.91
2016,3,Misconduct,92.0,70.0,61.73
2014,3,Bench Minor,71.0,71.0,61.67
2011,3,Bench Minor,68.0,65.0,61.07
2013,3,Misconduct,190.0,130.0,60.87
2017,3,Bench Minor,75.0,75.0,60.29
2019,3,Penalty Shot,37.0,19.0,60.0
2012,3,Bench Minor,44.0,41.0,59.78
2018,3,Bench Minor,170.0,84.0,59.1
2012,3,Misconduct,123.0,93.0,58.81
2018,3,Misconduct,244.0,97.0,58.06
2011,3,Game Misconduct,28.0,26.0,57.89
2011,3,Misconduct,155.0,124.0,57.02
2017,3,Penalty Shot,21.0,21.0,55.88
2018,3,Major,284.0,125.0,54.84
2014,3,Penalty Shot,12.0,12.0,54.55
2015,3,Bench Minor,71.0,70.0,53.91
2013,3,Major,205.0,173.0,53.91
2017,3,Major,156.0,128.0,53.28
2013,3,Bench Minor,54.0,54.0,52.6
2010,3,Major,314.0,221.0,52.5
2019,3,Major,188.0,93.0,52.13
2015,3,Major,135.0,128.0,51.96
2011,3,Major,205.0,183.0,51.85
2019,3,Bench Minor,180.0,88.0,51.53
2012,3,Major,141.0,112.0,51.43
2016,3,Bench Minor,58.0,57.0,51.3
2015,3,Minor,2666.0,1671.0,50.15
2014,3,Major,168.0,149.0,50.13
2016,3,Game Misconduct,26.0,22.0,50.0
2010,3,Match,2.0,2.0,50.0
2016,3,Minor,2656.0,1675.0,49.98
2012,3,Minor,1858.0,1095.0,49.95
2011,3,Minor,3057.0,1767.0,49.82
2013,3,Minor,3011.0,1799.0,49.76
2016,3,Major,182.0,150.0,49.63
2014,3,Minor,2699.0,1678.0,49.6
2010,3,Minor,3118.0,1767.0,49.35
2018,3,Minor,5260.0,1699.0,47.9
2019,3,Minor,4555.0,1486.0,47.66
2017,3,Minor,2550.0,1643.0,47.39
2015,3,Penalty Shot,18.0,18.0,46.88
2011,3,Penalty Shot,19.0,19.0,43.75
2010,3,Bench Minor,69.0,69.0,40.71
2016,3,Match,4.0,4.0,25.0
2018,3,Match,6.0,3.0,25.0
2015,3,Match,5.0,5.0,16.67
