team_name,win_rate_2017,win_rate_2019,change,trajectory
Avalanche,41.83,53.0,11.17,rising
Lightning,58.17,67.33,9.16,rising
Hurricanes,43.5,51.47,7.97,rising
Maple Leafs,47.17,54.73,7.56,rising
Canucks,37.4,44.67,7.27,rising
Bruins,54.0,59.3,5.3,rising
Jets,51.03,56.17,5.14,rising
Coyotes,38.23,43.27,5.04,rising
Flames,46.7,51.5,4.8,stable
Flyers,48.83,51.7,2.87,stable
Islanders,48.83,51.13,2.3,rising
Stars,50.9,52.67,1.77,stable
Blue Jackets,51.17,52.43,1.26,stable
Predators,55.37,56.07,0.7,stable
Sabres,37.8,38.07,0.27,stable
Oilers,46.17,45.93,-0.24,stable
Devils,44.03,43.37,-0.66,stable
Blues,55.8,55.07,-0.73,falling
Canadiens,45.8,44.33,-1.47,stable
Panthers,50.7,49.13,-1.57,stable
Wild,51.97,49.1,-2.87,falling
Penguins,59.5,54.77,-4.73,falling
Sharks,55.5,50.57,-4.93,falling
Golden Knights,62.7,56.8,-5.9,falling
Capitals,64.2,58.13,-6.07,falling
Rangers,50.97,43.9,-7.07,falling
Kings,52.07,43.83,-8.24,falling
Blackhawks,51.5,43.03,-8.47,falling
Red Wings,41.7,33.17,-8.53,falling
Ducks,54.3,44.9,-9.4,falling
Senators,44.97,34.9,-10.07,falling
